user_id,recommendations
1,"[874972, 961554, 962568, 1004906, 965766]"
2,"[874972, 1053690, 940947, 1133018, 899624]"
3,"[874972, 908531, 1133018, 13842214, 1096727]"
4,"[874972, 1029743, 1082185, 981760, 951590]"
5,"[874972, 1029743, 1082185, 981760, 951590]"
6,"[12384953, 986912, 840361, 995242, 1037863]"
7,"[14106445, 1133018, 5568378, 1082185, 961554]"
8,"[874972, 1004906, 1062002, 1029743, 1082185]"
9,"[874972, 995242, 918046, 1056005, 883404]"
10,"[874972, 1106523, 986912, 1029743, 1082185]"
11,"[874972, 1029743, 1082185, 981760, 951590]"
12,"[874972, 1029743, 1082185, 981760, 951590]"
13,"[874972, 1004906, 12427353, 1029743, 1082185]"
14,"[9835223, 1029743, 859075, 981760, 951590]"
15,"[874972, 1098844, 1127179, 1070820, 10341697]"
16,"[874972, 12263788, 1029743, 1082185, 1106523]"
17,"[874972, 981760, 1126899, 1082185, 951590]"
18,"[878715, 866211, 840361, 9677886, 990797]"
19,"[874972, 882604, 15926844, 832678, 1101173]"
20,"[874972, 923746, 911614, 1126899, 1075368]"
21,"[874972, 995242, 947798, 834117, 6979579]"
22,"[1048257, 854852, 992986, 1082185, 1070820]"
23,"[1034176, 12648296, 1029743, 1082185, 1106523]"
24,"[874972, 1082185, 866211, 1106523, 5568378]"
25,"[874972, 1133018, 8090521, 844179, 1003188]"
26,"[874972, 1081177, 990797, 1106301, 1070015]"
27,"[874972, 1082185, 986912, 963686, 9245108]"
28,"[948670, 1119051, 921836, 943233, 878996]"
29,"[874972, 1029743, 1082185, 1106523, 995242]"
30,"[874972, 995242, 1029743, 1082185, 1106523]"
31,"[860248, 1126899, 1082185, 981760, 1004906]"
32,"[874972, 1058997, 981760, 992986, 1009449]"
33,"[836445, 1081177, 1106301, 5590613, 871756]"
34,"[874972, 1101010, 982493, 993638, 1044805]"
35,"[874972, 1053690, 1029743, 1082185, 1106523]"
36,"[874972, 901062, 916122, 1029743, 1082185]"
37,"[874972, 1122358, 1101980, 1067695, 904813]"
38,"[874972, 1029743, 1082185, 981760, 951590]"
39,"[874972, 893018, 965982, 1127716, 6602697]"
40,"[928263, 1082185, 916122, 995242, 1083043]"
41,"[874972, 845307, 982360, 1082185, 12810393]"
42,"[874972, 1029743, 1082185, 981760, 923746]"
43,"[874972, 821787, 1095068, 873178, 838319]"
44,"[874972, 1029743, 1082185, 981760, 951590]"
45,"[874972, 1029743, 1082185, 981760, 951590]"
46,"[1108094, 1004906, 8090532, 1082185, 1029743]"
47,"[9677366, 1040935, 1126252, 9487606, 907308]"
48,"[874972, 1029743, 1082185, 981760, 951590]"
49,"[1000753, 1058997, 908531, 916122, 840361]"
50,"[874972, 1029743, 965766, 908531, 962229]"
51,"[874972, 1082185, 1088147, 1029743, 981760]"
52,"[874972, 898847, 1115553, 1082185, 1106523]"
53,"[874972, 1082185, 844179, 6034857, 5569471]"
54,"[874972, 1029743, 1082185, 981760, 951590]"
55,"[874972, 1082185, 899624, 995242, 844165]"
56,"[848029, 1082185, 899624, 1058997, 908531]"
57,"[874972, 854852, 979707, 965766, 1065593]"
58,"[995151, 903325, 916758, 1070820, 901062]"
59,"[10150194, 1133018, 899624, 833025, 937928]"
60,"[874972, 1029743, 1082185, 981760, 951590]"
61,"[874972, 1029743, 1082185, 981760, 951590]"
62,"[874972, 1029743, 1082185, 1106523, 995242]"
63,"[874972, 847344, 1029743, 1082185, 1106523]"
64,"[982469, 909894, 901460, 1004906, 1065593]"
65,"[874972, 5568378, 7168286, 965766, 986912]"
66,"[874972, 1082185, 1106523, 981760, 951590]"
67,"[1118946, 1082185, 859075, 995242, 1004906]"
68,"[874972, 981760, 923746, 995242, 947798]"
69,"[874972, 981760, 1101173, 1106523, 1044078]"
70,"[874972, 1039156, 1029743, 1082185, 1106523]"
71,"[874972, 1082185, 995242, 899624, 859075]"
72,"[874972, 1029743, 1082185, 1106523, 995242]"
73,"[874972, 1029743, 1082185, 981760, 951590]"
74,"[874972, 1029743, 1082185, 981760, 951590]"
